Colunas,Selecionado
quantidade_docente_fundamental_anos_iniciais,1
quantidade_docente_fundamental,0
quantidade_docente_fundamental_anos_finais,0
quantidade_docente_especial,0
quantidade_docente_especial_comum,0
quantidade_docente_educacao_basica,0
quantidade_docente_infantil_creche,0
quantidade_docente_medio,0
quantidade_docente_infantil,0
quantidade_docente_infantil_pre_escola,0
profissional_psicologo,1
quantidade_profissional_psicologo,0
quantidade_profissional_servico_geral,0
profissional_alimentacao,0
profissional_pedagogia,0
profissional_secretario,0
quantidade_profissional_secretario,0
profissional_monitor,0
quantidade_profissional_monitor,0
profissional_nutricionista,0
quantidade_profissional_nutricionista,0
profissional_assistente_social,0
quantidade_profissional_assistente_social,0
quantidade_profissional_seguranca,0
quantidade_profissional_pedagogia,1
profissional_administrativo,1
quantidade_profissional_administrativo,0
profissional_seguranca,0
quantidade_profissional_coordenador,1
profissional_coordenador,0
profissional_servico_geral,0
quantidade_profissional_alimentacao,0
quantidade_profissional_gestao,0
orgao_associacao_pais_mestres,1
orgao_gremio_estudantil,1
orgao_nenhum,0
orgao_conselho_escolar,1
orgao_outros,0
tipo_regulamentacao,1
tipo_responsavel_regulamentacao,1
etapa_ensino_fundamental_anos_finais,1
espaco_atividade_comunidade,0
etapa_ensino_fundamental_anos_iniciais,0
quantidade_equipamento_tv,1
acesso_internet_computador,1
tratamento_lixo_inexistente,1
internet_aprendizagem,1
quadra_esportes,1
quadra_esportes_coberta,1
quantidade_equipamento_som,0
tratamento_lixo_separacao,0
esgoto_rede_publica,1
material_pedagogico_desportiva,1
parque_infantil,1
sala_professor,1
esgoto_fossa,0
lixo_queima,0
internet_alunos,1
material_pedagogico_artistica,0
laboratorio_informatica,1
lixo_servico_coleta,0
agua_rede_publica,1
quantidade_equipamento_lousa_digital,0
material_pedagogico_multimidia,1
material_pedagogico_difusao,0
refeitorio,1
biblioteca_sala_leitura,1
banheiro_funcionarios,0
equipamento_impressora_multifuncional,1
esgoto_fossa_comum,0
acessibilidade_corrimao,0
quantidade_equipamento_multimidia,0
material_pedagogico_etnico,0
quantidade_sala_utilizada_dentro,0
tratamento_lixo_reciclagem,1
equipamento_tv,1
quantidade_sala_utilizada,0
almoxarifado,0
equipamento_computador,1
sala_diretoria,0
agua_poco_artesiano,0
material_pedagogico_jogo,0
equipamento_scanner,0
material_pedagogico_cientifico,1
banheiro_pne,0
equipamento_som,0
biblioteca,1
equipamento_copiadora,0
profissional_bibliotecario,0
sala_atendimento_especial,0
secretaria,0
espaco_equipamento_alunos,0
quantidade_equipamento_dvd,0
quantidade_profissional_bibliotecario,0
patio_descoberto,0
agua_cacimba,0
material_pedagogico_nenhum,0
esgoto_fossa_septica,0
area_verde,0
quantidade_sala_utilizada_acessivel,0
equipamento_dvd,0
laboratorio_ciencias,1
acessibilidade_vao_livre,0
banheiro_educacao_infantil,0
sala_multiuso,0
acessibilidade_sinal_visual,0
patio_coberto,0
sala_leitura,1
terreirao,0
banda_larga,1
despensa,0
material_pedagogico_musical,0
acessibilidade_pisos_tateis,0
acessibilidade_inexistente,0
equipamento_impressora,0
local_funcionamento_outros,0
material_pedagogico_infantil,0
acessibilidade_rampas,0
quadra_esportes_descoberta,0
banheiro_chuveiro,0
quantidade_sala_utilizada_fora,0
quantidade_sala_utilizada_climatizada,0
auditorio,0
equipamento_multimidia,0
predio_compartilhado,0
equipamento_parabolica,0
acesso_internet_dispositivo_pessoal,1
internet_comunidade,0
material_pedagogico_campo,0
tipo_local_funcionamento_predio_escolar,1
tipo_rede_local,1
sigla_uf,1
tipo_localizacao,1
tipo_localizacao_diferenciada,0
etapa_ensino_infantil_creche,1
etapa_ensino_infantil,0
etapa_ensino_infantil_pre_escola,0
etapa_ensino_medio,1
noturno,1
redes_sociais,1
profissional_gestao,0
tipo_proposta_pedagogica,0
tipo_aee,1
tipo_atividade_complementar,1
proporcao_quantidade_desktop_aluno,0
proporcao_quantidade_computador_portatil_aluno,0
proporcao_fundamental_1_ano,0
proporcao_fundamental_2_ano,0
proporcao_idade_6_10,0
proporcao_idade_15_17,0
proporcao_idade_18,0
quantidade_matricula_idade_18,0
quantidade_matricula_idade_15_17,0
quantidade_desktop_aluno,1
quantidade_matricula_idade_6_10,0
quantidade_computador_portatil_aluno,0
quantidade_matricula_fundamental_1_ano,0
quantidade_matricula_fundamental_2_ano,0
quantidade_matricula_fundamental_anos_iniciais,0
quantidade_matricula_fundamental_anos_iniciais_integral,0
quantidade_turma_fundamental_anos_finais,0
quantidade_turma_noturno,0
quantidade_turma_infantil_creche,0
quantidade_turma_diurno,0
quantidade_turma_especial,0
quantidade_turma_fundamental,0
quantidade_turma_especial_comum,0
quantidade_turma_medio,0
quantidade_turma_educacao_basica,0
quantidade_turma_fundamental_integral,0
quantidade_turma_fundamental_anos_iniciais_integral,0
quantidade_turma_infantil,0
quantidade_turma_infantil_integral,0
quantidade_turma_infantil_pre_escola,0
quantidade_turma_infantil_pre_escola_integral,0
quantidade_turma_fundamental_anos_finais_integral,0
